NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
1.0661513836559589	1.0661513836559589	1.0661513836559589	1.0661513836559589	1.0661513836559589	1.0661513836559589	1.0661513836559589	1.0661513836559589	1.0661513836559589	1.0661513836559589	1.0661513836559589	1.0661513836559589	1.0661513836559589	1.0661513836559589	1.0661513836559589	1.0661513836559589	1.0661513836559589	1.0661513836559589	1.0661513836559589	1.0661513836559589
-0.01412167061588219	-0.01412167061588219	-0.01412167061588219	-0.01412167061588219	-0.01412167061588219	-0.01412167061588219	-0.01412167061588219	-0.01412167061588219	-0.01412167061588219	-0.01412167061588219	-0.01412167061588219	-0.01412167061588219	-0.01412167061588219	-0.01412167061588219	-0.01412167061588219	-0.01412167061588219	-0.01412167061588219	-0.01412167061588219	-0.01412167061588219	-0.01412167061588219
Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
0.0003232636258139951	0.0003232636258139951	0.0003232636258139951	0.0003232636258139951	0.0003232636258139951	0.0003232636258139951	0.0003232636258139951	0.0003232636258139951	0.0003232636258139951	0.0003232636258139951	0.0003232636258139951	0.0003232636258139951	0.0003232636258139951	0.0003232636258139951	0.0003232636258139951	0.0003232636258139951	0.0003232636258139951	0.0003232636258139951	0.0003232636258139951	0.0003232636258139951
-6.059582494361997e-7	-6.059582494361997e-7	-6.059582494361997e-7	-6.059582494361997e-7	-6.059582494361997e-7	-6.059582494361997e-7	-6.059582494361997e-7	-6.059582494361997e-7	-6.059582494361997e-7	-6.059582494361997e-7	-6.059582494361997e-7	-6.059582494361997e-7	-6.059582494361997e-7	-6.059582494361997e-7	-6.059582494361997e-7	-6.059582494361997e-7	-6.059582494361997e-7	-6.059582494361997e-7	-6.059582494361997e-7	-6.059582494361997e-7
-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf
-84.38238735020167	-84.38238735020167	-84.38238735020167	-84.38238735020167	-84.38238735020167	-84.38238735020167	-84.38238735020167	-84.38238735020167	-84.38238735020167	-84.38238735020167	-84.38238735020167	-84.38238735020167	-84.38238735020167	-84.38238735020167	-84.38238735020167	-84.38238735020167	-84.38238735020167	-84.38238735020167	-84.38238735020167	-84.38238735020167
1.1176839407693917	1.1176839407693917	1.1176839407693917	1.1176839407693917	1.1176839407693917	1.1176839407693917	1.1176839407693917	1.1176839407693917	1.1176839407693917	1.1176839407693917	1.1176839407693917	1.1176839407693917	1.1176839407693917	1.1176839407693917	1.1176839407693917	1.1176839407693917	1.1176839407693917	1.1176839407693917	1.1176839407693917	1.1176839407693917
